Week,Date,Day,Weight,Calories,Macro Split (C/F/P),Protein (g),Workout,Conditioning (cal estimated using apps),Steps,Cal (cond),Cal (walk),Notes
,2021-05-14,F,182.4,1748,,140,,,5071,,202.84,
,2021-05-15,Sa,181,1964,,131,"531 Bench; DBrow, Calf Raise",Jump Rope (371),6635,371,265.4,
,2021-05-16,Su,181,2025,,179,"531 Squat; Banded FacePull, DB Lateral Raise",,6972,,278.88,
53,2021-05-17,M,,1980,,176,"531 Press; Chin-ups, BBrow, Push Press",Jump Rope (),8299,,331.96,531 C3W1
,2021-05-18,Tu,181.2,2158,,158,531 TBarDL; Banded Woodchopper,,8153,,326.12,
,2021-05-19,W,181.2,1963,,137,,,6046,,241.84,
,2021-05-20,Th,181.2,2138,,164,"531 Bench; DBrow, Calf Raise",,8263,,330.52,
,2021-05-21,F,181.8,2161,,116,,,6343,,253.72,
,2021-05-22,Sa,,2270,,166,"531 Squat; Banded FacePull, DB Lateral Raise",,6158,,246.32,
,2021-05-23,Su,,1786,,136,,,10509,,420.36,
54,2021-05-24,M,181.4,2155,,177,"531 Press; Chin-ups, BBrow, Push Press",,6395,,255.8,531 C3W2
,2021-05-25,Tu,181.4,1860,,165,531 TBarDL; Dips; Banded Woodchopper,,6532,,261.28,
,2021-05-26,W,181.4,1838,,152,,,6041,,241.64,
,2021-05-27,Th,180.8,1996,,172,,,5709,,228.36,
,2021-05-28,F,,2072,,137,,,5877,,235.08,
,2021-05-29,Sa,181.4,1918,,139,"531 Bench; DBrow, Calf Raise",Jump Rope (22 min),10484,,419.36,
,2021-05-30,Su,,1859,,140,"531 Squat; Banded FacePull, DB Lateral Raise",Jump Rope (10 min),5212,,208.48,
115,2022-08-01,M,181,1868,,161,,Bike (38 min),7637,,305.48,
,2022-08-02,Tu,,1874,,156,,,7547,,301.88,
,2022-08-03,W,181.8,1830,,128,,Bike (30 min),7058,,282.32,
,2022-08-04,Th,181.8,1876,,151,,Bike (25 min),7016,,280.64,
,2022-08-05,F,181.8,1991,,135,,Bike (45 min),7119,,284.76,
,2022-08-06,Sa,181.8,2192,,138,"PullUp, Weigthed Dip, DB Hammer Curl",Bike (10 min),7895,,315.8,
,2022-08-07,Su,181.6,1686,,107,,Bike (45 min),7460,,298.4,
116,2022-08-08,M,181.6,2091,,159,,Bike (30 min),7736,,309.44,
,2022-08-09,Tu,181.6,1806,,134,"Weighted RPushup, Weighted Inverted Row",,7365,,294.6,
,2022-08-10,W,181.6,,,108,,,7226,,289.04,
,2022-08-11,Th,181.6,2295,,132,,,7116,,284.64,
,2022-08-12,F,181.6,2628,,153,,,13942,,557.68,
,2022-08-13,Sa,181.6,1529,,97,"Goblet Squat, KB RDL, Hanging Leg Raise",Bike (30 min),7281,,291.24,
,2022-08-14,Su,181.6,1823,,119,,Bike (30 min),7007,,280.28,
117,2022-08-15,M,181.6,1925,,163,"PullUp, Weighted Dip",Bike (30 min),7313,,292.52,
,2022-08-16,Tu,180.8,1964,,161,,Bike (22 min),7762,,310.48,
,2022-08-17,W,180.8,2028,,161,"Weighted RPushup, Weighted Inverted Row, Weighted Plank",Bike (30 min),7307,,292.28,
,2022-08-18,Th,,1865,,131,,,7635,,305.4,
,2022-08-19,F,,2276,,157,,,7542,,301.68,
,2022-08-20,Sa,,2434,,156,,,7154,,286.16,
,2022-08-21,Su,,1774,,105,,Bike (30 min),8697,,347.88,
118,2022-08-22,M,,1903,,163,"Weighted PullUp, Weighted Dip, Hanging Knee Raise",,8498,,339.92,
